Sensor Name,Description,Sensor Set,Comment,,,
OS_time,Timestamp,N/A,,Moderate+Basic,Basic,Moderate+Basic+Rich
cooling_electricity [W],Submeter: cooling,Rich,"In practice, unlikely to be split out from fans",0,0,0
electricity_facility [W],Main electricity meter,Basic,,1,1,1
whole_building_facility_total_hvac_electric_demand_power [W],Cooling + heating + fans?,Moderate,Unclear what this includes; may be more realistic than cooling/heating/fans separate,2,2,2
rooftop_supply_fan_fan_electric_energy [W],RTU supply fan,Rich,"Unlikely to be submetered, unless on a VFD",3,3,3
fans_electricity [W],Submeter: ventilation,Rich,"In practice, unlikely to be split out from cooling",4,4,4
gas_facility [W],Main gas meter,Rich,Gas interval data is not common,5,5,5
rooftop_heatingcoil_heating_coil_heating_energy [W],RTU airside heating?,Rich,Very unlikely to be measured in practice,6,6,6
room_102_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,7,7,7
room_103_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,8,8,8
room_104_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,9,9,9
room_105_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,10,10,10
room_106_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,11,11,11
room_202_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,12,12,12
room_203_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,13,13,13
room_204_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,14,14,14
room_205_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,15,15,15
room_206_reheat_coil_heating_coil_heating_energy [W],VAV box reheat,Rich,Unlikely to be submetered in practice,16,16,16
heating_electricity [W],Submeter: heating,Moderate,"In practice, it is plausible that VAV boxes might be independently submetered",17,17,17
heating_gas [W],Heating gas meter,Rich,Gas interval data is not common,18,18,18
interiorequipment_electricity [W],Submeter: plug loads,Moderate,,19,19,19
interiorlights_electricity [W],Submeter: lighting,Moderate,,20,20,20
environment_site_diffuse_solar_radiation_rate_per_area [W/m2],Diffuse horizontal irradiance,Rich,Unlikely to be measured; local global horizontal irradiance (GHI) measurement is more plausible,21,21,21
environment_site_direct_solar_radiation_rate_per_area [W/m2],Direct normal irradiance,Rich,Unlikely to be measured; local global horizontal irradiance (GHI) measurement is more plausible,22,22,22
environment_site_outdoor_air_barometric_pressure [Pa],Atmospheric pressure,Basic,Assumption: can be obtained from local weather station,23,23,23
